bedrooms,bathrooms,area,zipcode,has_wifi,has_ac,is_entire_place,price
1,1,382,90001,0,1,1,110.74210861229503
4,4,1320,10001,1,1,1,180.234149149291
3,3,1047,94105,1,1,1,169.0280015664544
2,3,682,33101,1,0,1,124.58752480401647
2,2,732,33101,1,1,0,109.88752353253624
4,4,1680,10001,1,0,0,181.4259445172615
1,2,354,10002,0,1,1,92.6691648367996
3,4,1146,10002,1,1,1,167.95395725612218
1,1,247,10003,1,1,0,70.3916683717333
1,2,347,10001,1,1,1,82.79390340201148
3,3,921,33101,1,0,1,127.68874797477919
4,4,1156,94105,1,1,1,188.93244883281227
3,4,918,94105,1,0,0,140.68299909914285
4,4,1332,10002,1,0,1,172.53911100343834
3,4,1185,10001,1,0,0,149.81005626723152
4,4,1132,33101,1,0,1,181.34932252915627
3,3,1053,10002,1,1,1,156.32863943026396
1,1,325,90001,1,1,1,79.66445063359032
4,4,1332,33101,1,1,1,198.6629295564895
2,3,800,10001,1,0,1,140.89185502981633
3,3,1128,10001,1,0,1,153.2455665532285
2,2,832,10001,1,1,1,133.6366351134409
1,2,342,10001,0,0,1,96.0695999681381
4,4,1260,10001,1,1,1,195.90099316404513
4,4,1352,94105,1,0,1,185.44099177112625
3,3,1086,90001,1,1,0,151.23347047074884
2,3,716,33101,1,1,1,136.19660573346502
4,4,1180,94105,1,1,0,162.02662325452957
3,4,1062,33101,1,0,1,163.65723156859588
2,2,722,10002,1,0,1,99.69186028873446
2,2,950,10002,1,1,0,109.00400544874945
1,2,443,33101,1,0,1,104.21065067808087
1,1,307,10002,1,1,1,94.27720162694197
3,4,1005,10001,1,1,1,178.09898289685862
4,4,1104,94105,1,1,1,178.38325616312707
1,2,320,94105,0,1,1,79.97751158723233
4,4,1460,33101,1,1,1,187.19562802929656
4,4,1640,33101,1,1,1,195.12031297240574
2,2,626,10001,1,0,1,111.5398871634001
3,4,951,94105,1,1,1,173.61180478756702
1,1,242,33101,1,0,1,72.53729574996555
4,4,1364,94105,1,1,0,181.12034471802923
3,3,888,94105,0,1,1,135.81372850565393
2,3,646,33101,1,0,1,125.75317278043813
1,2,306,10003,1,1,1,95.98108550185637
4,4,1380,10001,1,1,1,180.10186661715483
2,3,524,10003,1,0,1,116.04170637825146
4,4,1104,10002,1,1,1,178.95824253484776
3,4,1368,10001,0,1,1,164.59844870662903
4,4,1140,10001,1,0,1,191.31341242267683
4,4,1180,94105,1,0,0,164.0155399769212
1,1,441,90001,1,0,0,68.68603889822663
2,2,990,90001,1,1,1,106.87549042389858
2,2,582,94105,1,0,1,101.10792648020522
2,3,662,90001,1,0,1,119.01926575543646
1,1,367,90001,0,0,0,57.416473238233564
3,4,1308,10001,1,0,1,176.61707593377795
1,1,300,33101,1,1,1,83.95062224603781
3,3,1011,10003,1,0,1,158.45944249318254
3,4,1164,10001,1,1,0,157.81704634050368
4,4,1484,94105,1,1,0,180.97227836421575
3,3,993,94105,1,1,1,152.437035522875
2,2,686,10001,1,0,1,112.28796251621459
4,4,1124,10002,1,1,1,198.48795003049858
2,3,676,10001,1,1,1,106.80389273248781
2,3,672,10002,1,0,1,101.98454255561322
4,4,1444,10001,1,1,1,183.76829168943885
2,2,644,94105,1,1,0,109.74527881937568
1,2,373,90001,1,0,1,96.32604424764013
2,3,800,33101,1,1,1,137.83087198027474
4,4,1428,94105,1,1,1,185.3575408711943
1,1,367,90001,1,1,1,97.46543693241762
2,2,704,90001,1,1,0,121.0019540315273
1,2,350,10001,1,1,1,98.69057831271564
3,3,939,10001,1,1,1,161.2015757248684
2,2,730,90001,1,1,0,114.07645263432129
2,2,690,10001,1,1,1,114.73516973217116
1,2,454,10001,0,1,1,101.42816839000004
3,3,1284,10002,1,0,1,153.40613122578677
3,3,1107,33101,1,1,1,155.78839846754488
4,4,1244,10003,1,1,1,199.12953572189576
2,2,588,94105,1,0,1,85.69127871459914
1,2,409,10003,0,0,1,71.3481582984043
4,4,1452,10002,1,1,1,177.6292957362563
3,3,1122,10003,1,0,1,144.71739352431197
3,4,786,10001,1,0,0,137.2039183023397
1,1,396,94105,1,1,1,73.32674352226954
2,3,744,10002,1,1,1,121.94841967689175
4,4,1176,10003,1,1,0,164.0915832147643
4,4,1304,33101,1,1,1,210.2742409207589
2,3,726,90001,1,1,0,139.26741947747146
4,4,1408,10003,1,1,0,174.3825058231535
4,4,1340,90001,1,0,1,174.96416709693202
2,2,688,94105,1,0,1,101.20796002811706
4,4,1348,10002,1,1,1,167.8186958677473
2,3,714,90001,1,0,1,121.78119813591475
1,2,423,33101,1,1,1,88.69648016755974
3,3,663,90001,1,1,1,143.8264946833799
3,3,1014,10003,1,0,1,129.64794150956524
1,1,358,10001,1,0,1,71.43025541689742
4,4,1456,10002,1,1,1,191.0862709530283
1,2,331,33101,1,1,1,100.03709597783937
4,4,1048,90001,1,0,1,175.47471958742014
1,2,366,10002,1,1,0,74.14511015842963
4,4,1744,10003,1,1,1,205.44685730135564
4,4,1092,90001,1,1,1,172.39788303398151
4,4,1572,90001,1,1,0,188.72857914607306
3,4,999,94105,0,0,1,150.36861323381805
2,2,692,10002,1,0,1,98.73612500922052
3,3,891,90001,1,1,1,147.21302295418812
2,3,666,10003,1,0,1,125.60363742063768
4,4,1660,33101,1,1,1,200.729653804746
3,3,1137,10001,1,1,1,155.11512102555582
2,2,872,10001,1,0,1,132.21778890601053
3,3,1224,10003,1,1,1,168.9751077098656
3,4,1113,90001,0,0,1,150.35845883600246
1,2,437,94105,1,1,1,106.92621812136944
1,2,371,10003,1,0,1,108.91293485188187
1,2,391,33101,1,1,1,117.47984600783028
1,2,335,10003,1,1,1,84.39500119177502
2,2,706,10001,0,1,1,106.4846688884285
3,3,945,10001,1,1,1,166.5741878673385
3,4,1197,33101,0,1,1,152.44218949162362
2,3,582,10001,1,1,1,114.4245886670832
4,4,1556,33101,1,1,1,187.13805869300953
3,3,1020,10002,1,1,1,157.90226709474584
1,1,408,10001,1,1,1,87.27603293388903
4,4,1548,10002,1,1,0,175.39436379594406
3,3,1323,90001,1,0,0,136.4328753827549
3,4,1158,10003,1,1,1,160.12662935587292
3,4,813,94105,0,1,1,145.02990371341056
3,3,1038,90001,1,1,1,176.8663287727606
1,1,291,10003,1,0,0,70.55011071185554
